Pais,Año,PBI
Bosnia y Herzegovina,1997,4766.355904
Países Bajos,1962,12790.84956
Serbia,2002,7236.075251
Austria,1982,21597.08362
Irlanda,1982,12618.32141
Montenegro,1977,9595.929905
Israel,1977,13306.61921
España,1972,10638.75131
Siria,2002,4090.925331
Malasia,2002,10206.97794
Túnez,2002,5722.895655
Vietnam,2002,1764.456677
Bulgaria,2007,10680.79282
Países Bajos,1957,11276.19344
China,2007,4959.114854
Dinamarca,1967,15937.21123
Albania,1997,3193.054604
Nicaragua,2007,2749.320965
Colombia,2007,7006.580419
Canadá,1972,18970.57086
Mauricio,2007,10956.99112
Bélgica,1977,19117.97448
Arabia Saudita,2007,21654.83194
Portugal,1982,11753.84291
Suiza,1967,22966.14432
Venezuela,2002,8605.047831
Reino Unido,1977,17428.74846
Uruguay,1992,8137.004775
Polonia,1997,10159.58368
Libia,2002,9534.677467
Eslovaquia,1997,12126.23065
Noruega,1952,10095.42172
Cuba,1977,6380.494966
Baréin,1992,19035.57917
Hungría,2002,14843.93556
Jamaica,2007,7320.880262
Jordania,2007,4519.461171
Croacia,1992,8447.794873
Finlandia,1977,15605.42283
Alemania,1977,20512.92123
Omán,1997,19702.05581
Chile,1987,5547.063754
Islandia,1952,7267.688428
Suecia,1957,9911.878226
Rumania,2007,10808.47561
Panamá,1992,6618.74305
República Checa,1992,14297.02122
Sri Lanka,2007,3970.095407
Brasil,2007,9065.800825
Francia,1972,16107.19171
Territorios Palestinos,2002,4515.487575
Dinamarca,1962,13583.31351
Grecia,1972,12724.82957
Ecuador,1997,7429.455877
Argelia,2007,6223.367465
Jamaica,1997,7121.924704
Eslovenia,1987,18678.53492
"Corea, Rep.",1992,12104.27872
República Dominicana,2007,6025.374752
Serbia,1997,7914.320304
Nueva Zelanda,1977,16233.7177
Italia,1972,12269.27378
Bosnia y Herzegovina,1992,2546.781445
Austria,1977,19749.4223
"Taiwán, China",1982,7426.354774
Puerto Rico,1972,9123.041742
Venezuela,1997,10165.49518
Bulgaria,2002,7696.777725
Países Bajos,1952,8941.571858
Canadá,1967,16076.58803
Jamaica,2002,6994.774861
Irlanda,1977,11150.98113
China,2002,3119.280896
Reino Unido,1972,15895.11641
Albania,1987,3738.932735
"Hong Kong, China",1972,8315.928145
Líbano,2007,10461.05868
Túnez,1997,4876.798614
Mauricio,2002,9021.815894
Malasia,1997,10132.90964
Australia,1972,16788.62948
Uruguay,1987,7452.398969
Reunión,1987,5303.377488
Nueva Zelanda,1972,16046.03728
El Salvador,2007,5728.353514
Argentina,1992,9308.41871
Suecia,1952,8527.844662
Dinamarca,1957,11099.65935
Turquía,2007,8458.276384
Jamaica,1987,6351.237495
Jamaica,1992,7404.923685
Singapur,1982,15169.16112
Paraguay,2007,4172.838464
Filipinas,2007,3190.481016
Colombia,2002,5755.259962
Serbia,1992,9325.068238
Israel,1972,12786.93223
Arabia Saudita,2002,19014.54118
Albania,1992,2497.437901
República Checa,1987,16310.4434
Libia,1997,9467.446056
Francia,1967,12999.91766
Siria,1997,4014.238972
Panamá,1987,7034.779161
Nueva Zelanda,1967,14463.91893
Croacia,1987,13822.58394
México,1992,9472.384295
España,1967,7993.512294
Bélgica,1972,16672.14356
Japón,1967,9847.788607
Perú,2007,7408.905561
Eslovaquia,1992,9498.467723
Reino Unido,1967,14142.85089
Bulgaria,1987,8239.854824
Estados Unidos,1972,21806.03594
Egipto,2007,5581.180998
Rumania,2002,7885.360081
Suiza,1962,20431.0927
Polonia,1982,8451.531004
Kuwait,1982,31354.03573
Canadá,1962,13462.48555
Irlanda,1972,9530.772896
Jordania,2002,3844.917194
Nueva Zelanda,1962,13175.678
Serbia,1987,15870.87851
Jamaica,1982,6068.05135
Omán,1992,18616.70691
Bulgaria,1992,6302.623438
Marruecos,2007,3820.17523
Venezuela,1992,10733.92631
Bosnia y Herzegovina,1987,4314.114757
Puerto Rico,1967,6929.277714
Australia,1967,14526.12465
Territorios Palestinos,1997,7110.667619
Irlanda,1967,7655.568963
Eslovaquia,1987,12037.26758
Bulgaria,1982,8224.191647
Eslovenia,1982,17866.72175
Italia,1967,10022.40131
Hungría,1997,11712.7768
Líbano,2002,9313.93883
Brasil,2002,8131.212843
Grecia,1967,8513.097016
Alemania,1972,18016.18027
Argelia,2002,5288.040382
Polonia,1992,7738.881247
Eslovaquia,1967,8412.902397
Polonia,1987,9082.351172
Eslovenia,1977,15277.03017
Irán,2007,11605.71449
República Checa,1982,15377.22855
Bélgica,1967,13149.04119
Australia,1962,12217.22686
Bulgaria,1972,6597.494398
Finlandia,1972,14358.8759
Polonia,1972,8006.506993
República Dominicana,2002,4563.808154
Turquía,2002,6508.085718
Nicaragua,2002,2474.548819
Sri Lanka,2002,3015.378833
Bulgaria,1977,7612.240438
Uruguay,1982,6920.223051
Eslovaquia,1982,11348.54585
Alemania,1967,14745.62561
Singapur,1977,11210.08948
Dinamarca,1952,9692.385245
Argentina,1987,9139.671389
Reino Unido,1962,12477.17707
Estados Unidos,1967,19530.36557
Paraguay,2002,3783.674243
Israel,1967,8393.741404
Baréin,1987,18524.02406
Costa Rica,1977,5926.876967
Mauricio,1997,7425.705295
El Salvador,2002,5351.568666
Cuba,1972,5305.445256
República Checa,1977,14800.16062
Malasia,1992,7277.912802
Bosnia y Herzegovina,1982,4126.613157
Vietnam,1997,1385.896769
Polonia,1977,9508.141454
Indonesia,2007,3540.651564
"Corea, Rep. Dem.",1987,4106.492315
Croacia,1977,11305.38517
Montenegro,1972,7778.414017
Austria,1972,16661.6256
Tailandia,2007,7458.396327
"Taiwán, China",1977,5596.519826
Chile,1982,5095.665738
Suiza,1957,17909.48973
Arabia Saudita,1997,20586.69019
Francia,1962,10560.48553
Panamá,1982,7009.601598
Croacia,1982,13221.82184
Sri Lanka,1997,2664.477257
Eslovaquia,1977,10922.66404
China,1997,2289.234136
Albania,1982,3630.880722
Reino Unido,1957,11283.17795
Bulgaria,1967,5577.0028
Portugal,1977,10172.48572
República Checa,1967,11399.44489
Sri Lanka,1992,2153.739222
Eslovaquia,1972,9674.167626
Eslovaquia,1962,7481.107598
Australia,1957,10949.64959
Bulgaria,1997,5970.38876
Colombia,1997,6117.361746
Filipinas,2002,2650.921068
Alemania,1962,12902.46291
Serbia,1977,12980.66956
República Checa,1972,13108.4536
Irlanda,1962,6631.597314
Líbano,1997,8754.96385
Nueva Zelanda,1957,12247.39532
Guatemala,2007,5186.050003
Bélgica,1962,10991.20676
Estados Unidos,1962,16173.14586
Honduras,2007,3548.330846
Venezuela,1987,9883.584648
Serbia,1982,15181.0927
Austria,1967,12834.6024
Jamaica,1977,6650.195573
Túnez,1992,4332.720164
"Hong Kong, China",1967,6197.962814
"Corea, Rep. Dem.",1992,3726.063507
Canadá,1957,12489.95006
República Dominicana,1997,3614.101285
Hungría,1977,11674.83737
Argentina,1982,8997.897412
Perú,2002,5909.020073
República Checa,1962,10136.86713
Reunión,1982,5267.219353
Trinidad y Tobago,1992,7370.990932
Bosnia y Herzegovina,1977,3528.481305
Finlandia,1967,10921.63626
Eslovenia,1972,12383.4862
Trinidad y Tobago,2007,18008.50924
"Corea, Rep.",1987,8533.088805
Egipto,2002,4754.604414
Jordania,1997,3645.379572
Hungría,1972,10168.65611
Mauricio,1992,6058.253846
Rumania,1997,7346.547557
Territorios Palestinos,1992,6017.654756
España,1962,5693.843879
Rumania,1982,9605.314053
Puerto Rico,1962,5108.34463
Suiza,1952,14734.23275
Marruecos,2002,3258.495584
Ecuador,1992,7103.702595
Croacia,1972,9164.090127
Polonia,1967,6557.152776
Trinidad y Tobago,1987,7388.597823
Hungría,1987,12986.47998
Austria,1962,10750.72111
El Salvador,1997,5154.825496
Rumania,1987,9696.273295
Singapur,1972,8597.756202
Grecia,1962,6017.190733
Bulgaria,1962,4254.337839
Malasia,1987,5249.802653
Hungría,1967,9326.64467
México,1987,8688.156003
Estados Unidos,1957,14847.12712
Uruguay,1977,6504.339663
Trinidad y Tobago,1997,8792.573126
Rumania,1977,9356.39724
Irán,2002,9240.761975
Paraguay,1997,4247.400261
Hungría,1982,12545.99066
"Taiwán, China",1972,4062.523897
Nueva Zelanda,1952,10556.57566
Israel,1962,7105.630706
Brasil,1997,7957.980824
Rumania,1992,6598.409903
Kuwait,1977,59265.47714
Líbano,1992,6890.806854
Portugal,1972,9022.247417
Siria,1992,3340.542768
Bélgica,1957,9714.960623
Italia,1962,8243.58234
Rumania,1972,8011.414402
Eslovenia,1967,9405.489397
Reino Unido,1952,9979.508487
Hungría,1992,10535.62855
Argelia,1997,4797.295051
Eslovenia,1962,7402.303395
Australia,1952,10039.59564
Alemania,1957,10187.82665
"Corea, Rep. Dem.",1982,4106.525293
Baréin,1982,19211.14731
República Checa,1957,8256.343918
Sri Lanka,1987,1876.766827
Jamaica,1972,7433.889293
Guatemala,2002,4858.347495
Trinidad y Tobago,2002,11460.60023
Albania,1977,3533.00391
Francia,1957,8662.834898
Irlanda,1957,5599.077872
Turquía,1997,6601.429915
Trinidad y Tobago,1982,9119.528607
Arabia Saudita,1992,24841.61777
Sri Lanka,1982,1648.079789
Libia,1992,9640.138501
Canadá,1952,11367.16112
Finlandia,1962,9371.842561
Mauricio,1987,4783.586903
Japón,1962,6576.649461
Serbia,1972,10522.06749
China,1992,1655.784158
Panamá,1977,5351.912144
Uruguay,1972,5703.408898
Indonesia,2002,2873.91287
Honduras,2002,3099.72866
Filipinas,1997,2536.534925
Tailandia,2002,5913.187529
Venezuela,1982,11152.41011
Puerto Rico,1957,3907.156189
Croacia,1967,6960.297861
Argentina,1977,10079.02674
Uruguay,1967,5444.61962
República Dominicana,1992,3044.214214
Estados Unidos,1952,13990.48208
Nicaragua,1997,2253.023004
Colombia,1992,5444.648617
Perú,1997,5838.347657
Trinidad y Tobago,1977,7899.554209
Cuba,1967,5690.268015
Uruguay,1962,5603.357717
Paraguay,1992,4196.411078
Irán,1997,8263.590301
Jordania,1992,3431.593647
Malasia,1982,4920.355951
Bélgica,1952,8343.105127
Hungría,1962,7550.359877
Singapur,1967,4977.41854
Líbano,1987,5377.091329
Grecia,1957,4916.299889
Eslovenia,1957,5862.276629
Costa Rica,1972,5118.146939
Israel,1957,5385.278451
Italia,1957,6248.656232
Colombia,1987,4903.2191
Argelia,1992,5023.216647
Omán,1987,18115.22313
"Corea, Rep. Dem.",1997,1690.756814
Kuwait,1972,109347.867
Albania,1972,3313.422188
Vietnam,1992,989.0231487
Marruecos,1997,2982.101858
Honduras,1997,3160.454906
"Hong Kong, China",1962,4692.648272
Polonia,1962,5338.752143
Tailandia,1997,5852.625497
Jamaica,1967,6124.703451
"Taiwán, China",1967,2643.858681
Alemania,1952,7144.114393
Finlandia,1957,7545.415386
Austria,1957,8842.59803
Venezuela,1977,13143.95095
Eslovaquia,1957,6093.26298
Bosnia y Herzegovina,1972,2860.16975
Francia,1952,7029.809327
México,1982,9611.147541
Paraguay,1987,3998.875695
Tailandia,1992,4616.896545
"Corea, Rep. Dem.",2007,1593.06548
China,1987,1378.904018
Ecuador,1987,6481.776993
Egipto,1997,4173.181797
Montenegro,1967,5907.850937
"Corea, Rep. Dem.",1977,4106.301249
Croacia,1962,5477.890018
"Corea, Rep.",1982,5622.942464
Argentina,1972,9443.038526
Reunión,1977,4319.804067
Brasil,1992,6950.283021
Chile,1977,4756.763836
Territorios Palestinos,1987,5107.197384
Uruguay,1957,6150.772969
Líbano,1982,7640.519521
Siria,1987,3116.774285
Serbia,1967,7991.707066
Irlanda,1952,5210.280328
Túnez,1987,3810.419296
Paraguay,1982,4258.503604
República Checa,1952,6876.14025
Mongolia,2007,3095.772271
Rumania,1967,6470.866545
Rumania,1962,4734.997586
Austria,1952,6137.076492
El Salvador,1992,4444.2317
Mauricio,1982,3688.037739
"Corea, Rep. Dem.",2002,1646.758151
España,1957,4564.80241
Colombia,1982,4397.575659
Bulgaria,1957,3008.670727
Portugal,1967,6361.517993
Finlandia,1952,6424.519071
Filipinas,1992,2279.324017
Perú,1992,4446.380924
Hungría,1957,6040.180011
Honduras,1992,3081.694603
Paraguay,1977,3248.373311
Guatemala,1997,4684.313807
Arabia Saudita,1987,21198.26136
Libia,1987,11770.5898
Albania,1967,2760.196931
Panamá,1972,5364.249663
Turquía,1992,5678.348271
Líbano,1977,8659.696836
Tailandia,1987,2982.653773
Uruguay,1952,5716.766744
República Dominicana,1987,2899.842175
Indonesia,1997,3119.335603
Sri Lanka,1977,1348.775651
Italia,1952,4931.404155
Trinidad y Tobago,1972,6619.551419
Jordania,1987,4448.679912
Grecia,1952,3530.690067
Nicaragua,1992,2170.151724
Paraguay,1972,2523.337977
Argelia,1987,5681.358539
Singapur,1962,3674.735572
Polonia,1957,4734.253019
Irán,1992,7235.653188
Venezuela,1972,10505.25966
Argentina,1967,8052.953021
Jamaica,1962,5246.107524
Baréin,1977,19340.10196
Eslovenia,1952,4215.041741
Bolivia,2007,3822.137084
Santo Tomé y Príncipe,2007,1598.435089
China,1982,962.4213805
Japón,1957,4317.694365
Pakistán,2007,2605.94758
Costa Rica,1967,4161.727834
Líbano,1972,7486.384341
Trinidad y Tobago,1967,5621.368472
Marruecos,1992,2948.047252
Israel,1952,4086.522128
Malasia,1977,3827.921571
Cuba,1962,5180.75591
Brasil,1987,7807.095818
"Taiwán, China",1962,1822.879028
Comoras,2007,986.1478792
Argentina,1962,7133.166023
Iraq,1987,11643.57268
Sri Lanka,1972,1213.39553
Mongolia,2002,2140.739323
México,1977,7674.929108
Paraguay,1967,2299.376311
España,1952,3834.034742
Mauricio,1977,3710.982963
Trinidad y Tobago,1962,4997.523971
Albania,1962,2312.888958
Bosnia y Herzegovina,1967,2172.352423
Croacia,1957,4338.231617
"Corea, Rep.",1977,4657.22102
"Hong Kong, China",1957,3629.076457
India,2007,2452.210407
Kuwait,1967,80894.88326
Tailandia,1982,2393.219781
Siria,1982,3761.837715
Serbia,1962,6289.629157
Honduras,1987,3023.096699
Territorios Palestinos,1982,4336.032082
Argentina,1957,6856.856212
Portugal,1962,4727.954889
Paraguay,1962,2148.027146
Eslovaquia,1952,5074.659104
Ecuador,1982,7213.791267
Santo Tomé y Príncipe,2002,1353.09239
Puerto Rico,1952,3081.959785
Reunión,1972,5047.658563
Sri Lanka,1967,1135.514326
Mauritania,2007,1803.151496
Filipinas,1987,2189.634995
Perú,1987,6360.943444
Rumania,1957,3943.370225
Panamá,1967,4421.009084
Bangladesh,2007,1391.253792
Túnez,1982,3560.233174
Hungría,1952,5263.673816
"Corea, Rep. Dem.",1972,3701.621503
China,1977,741.2374699
Bolivia,2002,3413.26269
Líbano,1967,6006.983042
Colombia,1977,3815.80787
Nepal,2007,1091.359778
Jordania,1982,4161.415959
Montenegro,1962,4649.593785
República Dominicana,1982,2861.092386
Egipto,1992,3794.755195
Mongolia,1997,1902.2521
Botswana,1987,6205.88385
Pakistán,2002,2092.712441
Venezuela,1967,9541.474188
Chile,1972,5494.024437
Guatemala,1992,4439.45084
Brasil,1982,7030.835878
Santo Tomé y Príncipe,1997,1339.076036
Baréin,1972,18268.65839
Paraguay,1957,2046.154706
Singapur,1957,2843.104409
El Salvador,1987,4140.442097
China,1972,676.9000921
Turquía,1987,5089.043686
Senegal,2007,1712.472136
Irán,1987,6642.881371
Japón,1952,3216.956347
Arabia Saudita,1982,33693.17525
Malasia,1972,2849.09478
Comoras,2002,1075.811558
Mauricio,1972,2575.484158
India,2002,1746.769454
Costa Rica,1962,3460.937025
Vietnam,1987,820.7994449
Botswana,1992,7954.111645
Santo Tomé y Príncipe,1992,1428.777814
Omán,1982,12954.79101
Yemen,2007,2280.769906
Indonesia,1992,2383.140898
Marruecos,1987,2755.046991
Paraguay,1952,1952.308701
"Corea, Rep.",1972,3030.87665
Jamaica,1957,4756.525781
Tailandia,1977,1961.224635
Argentina,1952,5911.315053
"Taiwán, China",1957,1507.86129
México,1972,6809.40669
Zimbabue,1987,706.1573059
Cuba,1957,6092.174359
Mauritania,2002,1579.019543
Sri Lanka,1962,1074.47196
Libia,1982,17364.27538
Líbano,1962,5714.560611
Filipinas,1982,2603.273765
Myanmar,2007,944.0
Bolivia,1997,3326.143191
Iraq,1982,14517.90711
Bangladesh,2002,1136.39043
Nicaragua,1987,2955.984375
Namibia,1992,3804.537999
Bosnia y Herzegovina,1962,1709.683679
Sudáfrica,1992,7225.069258
Pakistán,1997,2049.350521
Panamá,1962,3536.540301
Trinidad y Tobago,1957,4100.3934
República Dominicana,1977,2681.9889
India,1997,1458.817442
Santo Tomé y Príncipe,1987,1516.525457
Serbia,1957,4981.090891
Colombia,1972,3264.660041
Senegal,2002,1519.635262
Mauricio,1967,2475.387562
Portugal,1957,3774.571743
Brasil,1977,6660.118654
Botswana,1982,4551.14215
Sri Lanka,1957,1072.546602
Montenegro,1957,3682.259903
Perú,1982,6434.501797
Argelia,1982,5745.160213
Gabón,1992,13522.15752
Nepal,2002,1057.206311
Polonia,1952,4029.329699
Ecuador,1977,6679.62326
Mongolia,1992,1785.402016
Croacia,1952,3119.23652
Siria,1977,3195.484582
Jordania,1977,2852.351568
Rumania,1952,3144.613186
Turquía,1982,4241.356344
"Hong Kong, China",1952,3054.421209
Haití,2007,1201.637154
Honduras,1982,3121.760794
Pakistán,1992,1971.829464
Namibia,1987,3693.731337
Sudáfrica,1987,7825.823398
Guatemala,1987,4246.485974
Venezuela,1962,8422.974165
Territorios Palestinos,1977,3682.831494
Comoras,1997,1173.618235
Reunión,1967,4021.175739
Chile,1967,5106.654313
Kuwait,1962,95458.11176
Gabón,1997,14722.84188
Mauritania,1997,1483.136136
Iraq,1977,14688.23507
Tailandia,1972,1524.358936
Singapur,1952,2315.138227
Zimbabue,1992,693.4207856
Zimbabue,1982,788.8550411
Santo Tomé y Príncipe,1982,1890.218117
Myanmar,1997,415.0
Yemen,2002,2234.820827
Mauricio,1962,2529.067487
Sudáfrica,1997,7479.188244
India,1992,1164.406809
Mongolia,1987,2338.008304
Gabón,1987,11864.40844
Senegal,1997,1392.368347
Indonesia,1987,1748.356961
México,1967,5754.733883
Filipinas,1977,2373.204287
Costa Rica,1957,2990.010802
Ghana,2007,1327.60891
Colombia,1967,2678.729839
Bolivia,1992,2961.699694
"Corea, Rep. Dem.",1967,2143.540609
Baréin,1967,14804.6727
Myanmar,2002,611.0
Túnez,1977,3120.876811
Portugal,1952,3068.319867
Egipto,1987,3885.46071
Camboya,2007,1713.778686
Lesoto,1992,977.4862725
Marruecos,1982,2702.620356
República Dominicana,1972,2189.874499
Irán,1982,7608.334602
Bulgaria,1952,2444.286648
Iraq,2007,4471.061906
Turquía,1977,4269.122326
Brasil,1972,4985.711467
Líbano,1957,6089.786934
Iraq,1992,3745.640687
Gambia,2007,752.7497265
Madagascar,2007,1044.770126
Nepal,1997,1010.892138
Cuba,1952,5586.53878
Bangladesh,1997,972.7700352
Malasia,1967,2277.742396
Kenia,1987,1361.936856
Myanmar,1992,347.0
Botswana,1977,3214.857818
Nicaragua,1982,3470.338156
Kenia,1992,1341.921721
Albania,1957,1942.284244
Panamá,1957,2961.800905
Montenegro,1952,2647.585601
Trinidad y Tobago,1952,3023.271928
Namibia,1982,4191.100511
Namibia,1997,3899.52426
Vietnam,1982,707.2357863
Iraq,1997,3076.239795
Ecuador,1972,5280.99471
Kenia,1982,1348.225791
Arabia Saudita,1977,34167.7626
Ghana,1997,1005.245812
Sudán,2007,2602.394995
India,1987,976.5126756
Santo Tomé y Príncipe,1977,1737.561657
Jamaica,1952,2898.530881
"Taiwán, China",1952,1206.947913
Swazilandia,1992,3553.0224
Ghana,2002,1111.984578
Bosnia y Herzegovina,1957,1353.989176
Perú,1977,6281.290855
Togo,2007,882.9699438
Togo,1997,982.2869243
China,1967,612.7056934
Myanmar,1987,385.0
Mauritania,1992,1361.369784
México,1962,4581.609385
Tailandia,1967,1295.46066
Pakistán,1987,1704.686583
El Salvador,1972,4520.246008
